Range To (consumption rate),Range From (consumption rate),Fuel consumption Kg/Km,IATA Code,Fuel Consumption kg,ICAO Code
463,231,5.948164147,142,2754,B462
926,463,4.183585313,142,3874,B462
1389,926,3.785457163,142,5258,B462
1852,1389,3.563714903,142,6600,B462
2778,1852,3.311375090,142,9199,B462
,2778,3.165496760,142,11725,B462
463,231,1.781857451,D38,825,D328
926,463,1.339092873,D38,1240,D328
,926,1.206623470,D38,1676,D328
463,231,5.332613391,AN7,2469,AN72
926,463,3.510799136,AN7,3251,AN72
1389,926,3.055435565,AN7,4244,AN72
1852,1389,2.798596112,AN7,5183,AN72
2778,1852,2.501439885,AN7,6949,AN72
3704,2778,2.326403888,AN7,8617,AN72
,3704,2.206479482,AN7,10216,AN72
463,231,7.730021598,LOE,3579,L188
926,463,5.809935205,LOE,5380,L188
1389,926,5.234701224,LOE,7271,L188
1852,1389,4.891468683,LOE,9059,L188
2778,1852,4.477321814,LOE,12438,L188
3704,2778,4.223542117,LOE,15644,L188
4630,3704,4.045572354,LOE,18731,L188
,4630,3.911087113,LOE,21730,L188
463,231,2.308855292,DH3,1069,DH8C
926,463,1.735421166,DH3,1607,DH8C
,926,1.563714903,DH3,2172,DH8C
463,231,2.887688985,AN4,1337,AN24
926,463,2.062634989,AN4,1910,AN24
,926,1.825773938,AN4,2536,AN24
463,231,10.213822894,75F,4729,B752
926,463,6.838012959,75F,6332,B752
1389,926,6.182865371,75F,8588,B752
1852,1389,5.806155508,75F,10753,B752
2778,1852,5.367530598,75F,14911,B752
3704,2778,5.106911447,75F,18916,B752
4630,3704,4.927861771,75F,22816,B752
5556,4630,4.794636429,75F,26639,B752
,5556,4.643319963,75F,30098,B752
463,231,6.207343413,AR1,2874,RJ1H
926,463,4.433045356,AR1,4105,RJ1H
1389,926,4.046796256,AR1,5621,RJ1H
1852,1389,3.833693305,AR1,7100,RJ1H
,1852,3.594672426,AR1,9986,RJ1H
463,231,6.915766739,73G,3202,B737
926,463,4.506479482,73G,4173,B737
1389,926,4.010079194,73G,5570,B737
1852,1389,3.723002160,73G,6895,B737
2778,1852,3.387329014,73G,9410,B737
3704,2778,3.186825054,73G,11804,B737
4630,3704,3.048164147,73G,14113,B737
5556,4630,2.944564435,73G,16360,B737
